#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 16 01 00 130  4.0  6.0   0.3    MM    MM  MM     MM  17.7    MM  11.9   MM   MM    MM
2017 06 16 00 53 130  4.0  6.0   0.3    MM    MM  MM     MM  17.7    MM  11.9   MM   MM    MM
2017 06 16 00 45 140  5.0  6.0   0.3    MM    MM  MM     MM  17.8    MM  11.6   MM   MM    MM
2017 06 16 00 30 140  5.0  6.0   0.3    MM    MM  MM     MM  17.9    MM  11.6   MM   MM    MM
2017 06 16 00 00 140  5.0  7.0   0.3    MM    MM  MM     MM  18.1    MM  11.8   MM   MM    MM
2017 06 15 23 30 140  6.0  7.0   0.3    MM    MM  MM     MM  18.4    MM  11.8   MM   MM    MM
2017 06 15 22 45 150  6.0  7.0   0.3    MM    MM  MM     MM  18.5    MM  11.7   MM   MM    MM
2017 06 15 22 30 140  6.0  7.0   0.3    MM    MM  MM     MM  18.6    MM  11.1   MM   MM    MM
2017 06 15 22 00 140  5.0  6.0   0.3    MM    MM  MM     MM  18.8    MM  11.4   MM   MM    MM
2017 06 15 21 53 140  5.0  6.0   0.3    MM    MM  MM     MM  18.8    MM  11.4   MM   MM    MM
2017 06 15 21 45 140  6.0  7.0   0.3    MM    MM  MM     MM  18.8    MM  11.5   MM   MM    MM
2017 06 15 21 30 140  6.0  7.0   0.4    MM    MM  MM     MM  18.8    MM  11.7   MM   MM    MM
2017 06 15 20 53 140  6.0  7.0   0.4    MM    MM  MM     MM  19.1    MM  11.2   MM   MM    MM
2017 06 15 20 45 140  6.0  6.0   0.4    MM    MM  MM     MM  19.2    MM  11.3   MM   MM    MM
2017 06 15 20 30 150  6.0  7.0   0.4    MM    MM  MM     MM  19.2    MM  11.0   MM   MM    MM
2017 06 15 20 00 150  6.0  7.0   0.4    MM    MM  MM     MM  19.4    MM  11.2   MM   MM    MM
2017 06 15 19 53 150  6.0  7.0   0.4    MM    MM  MM     MM  19.4    MM  11.2   MM   MM    MM
2017 06 15 19 45 140  7.0  8.0   0.4    MM    MM  MM     MM  19.5    MM  11.1   MM   MM    MM
2017 06 15 18 45 150  6.0  7.0   0.4    MM    MM  MM     MM  19.8    MM   9.6   MM   MM    MM
2017 06 15 18 30 150  6.0  7.0   0.4    MM    MM  MM     MM  19.9    MM   9.4   MM   MM    MM
2017 06 15 18 23 150  6.0  7.0   0.4    MM    MM  MM     MM  19.8    MM   9.6   MM   MM    MM
2017 06 15 18 00 150  6.0  7.0   0.4    MM    MM  MM     MM  19.9    MM   8.6   MM   MM    MM
2017 06 15 17 53 150  6.0  7.0   0.4    MM    MM  MM     MM  19.9    MM   8.6   MM   MM    MM
2017 06 15 17 30 150  6.0  7.0   0.4    MM    MM  MM     MM  20.0    MM   8.8   MM   MM    MM
2017 06 15 17 00 160  6.0  7.0   0.2    MM    MM  MM     MM  19.8    MM   8.8   MM   MM    MM
2017 06 15 16 30 150  5.0  6.0   0.2    MM    MM  MM     MM  19.6    MM   9.7   MM   MM    MM
2017 06 15 14 30 110  3.0  4.0   0.2    MM    MM  MM     MM  18.6    MM  11.3   MM   MM    MM
2017 06 15 14 23 160  6.0  7.0   0.2    MM    MM  MM     MM  19.8    MM   8.8   MM   MM    MM
2017 06 15 14 15 110  3.0  4.0   0.2    MM    MM  MM     MM  18.7    MM  10.7   MM   MM    MM
2017 06 15 13 53 110  3.0  4.0   0.2    MM    MM  MM     MM  18.4    MM  11.2   MM   MM    MM
2017 06 15 13 00 110  4.0  5.0   0.2    MM    MM  MM     MM  17.8    MM  11.2   MM   MM    MM
2017 06 15 12 53 110  4.0  5.0   0.2    MM    MM  MM     MM  17.8    MM  11.2   MM   MM    MM
2017 06 15 12 30 120  4.0  5.0   0.2    MM    MM  MM     MM  17.7    MM  11.1   MM   MM    MM
2017 06 15 12 15 110  4.0  5.0   0.2    MM    MM  MM     MM  17.4    MM  11.4   MM   MM    MM
